Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
21,-6,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,22410,,Bangtan Boys / BTS - Min Yoongi | Suga x Park Jimin | Jimin
22,-4,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,22400,,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Park Jimin | Jimin
23,-1,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,22165,,Marvel - Peter Parker | Spiderman & Tony Stark | Iron Man
24,0,Hannibal Lecter x Will Graham,Hannibal,21446,,Hannibal - Hannibal Lecter x Will Graham
25,-4,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,19609,,Marvel - Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue
26,0,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,19256,,Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin
27,4,Midoriya Izuku | Deku x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,18807,,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku x Todoroki Shouto | Shoto
28,-8,John Watson & Sherlock Holmes,Sherlock,18502,,Sherlock - John Watson & Sherlock Holmes
29,-6,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,17455,,Youtube - Dan Howell | danisnotonfire x Phil Lester | AmazingPhil
30,-3,Blaine Anderson x Kurt Hummel,Glee,17427,,Glee - Blaine Anderson x Kurt Hummel
31,20,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,16456,,Haikyuu!! | ハイキュー!! - Iwaizumi Hajime x Oikawa Tooru
32,4,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,16227,,DC - Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman
