index,ship_name,fandom,rpf,gender_combo,race_combo,orientation_combo,gen_ship,canon,canon_alignment,incest,country_of_origin,language,member_no,member_1,member_2,member_3,member_4
Stranger Things - Eddie Munson x Y/N | Reader,Eddie Munson x Y/N | Reader,Stranger Things,False,M / Ambig,White / Ambig,str8 / unspecified,False,No,ambiguous,No,USA,English,2,Eddie Munson,Y/N | Reader,,
Stranger Things - Jane Hopper | Eleven x Maxine 'Max' Mayfield,Jane Hopper | Eleven x Maxine 'Max' Mayfield,Stranger Things,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Jane Hopper | Eleven,Maxine 'Max' Mayfield,,
Stranger Things - Jane Hopper | Eleven x Mike Wheeler,Jane Hopper | Eleven x Mike Wheeler,Stranger Things,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Jane Hopper | Eleven,Mike Wheeler,,
Stranger Things - Jim 'Chief' Hopper x Joyce Byers,Jim 'Chief' Hopper x Joyce Byers,Stranger Things,False,M / F,White,str8,False,Yes,aligned,No,USA,English,2,Jim 'Chief' Hopper,Joyce Byers,,
Stranger Things - Lucas Sinclair x Maxine 'Max' Mayfield,Lucas Sinclair x Maxine 'Max' Mayfield,Stranger Things,False,M / F,Black / White,str8,False,Yes,aligned,No,USA,English,2,Lucas Sinclair,Maxine 'Max' Mayfield,,
Stranger Things - Mike Wheeler x Will Byers,Mike Wheeler x Will Byers,Stranger Things,False,M / M,White,str8 / gay,False,One-sided,conflicted,No,USA,English,2,Mike Wheeler,Will Byers,,
Stranger Things - Nancy Wheeler x Robin Buckley,Nancy Wheeler x Robin Buckley,Stranger Things,False,F / F,White,str8 / gay,False,No,conflicted,No,USA,English,2,Nancy Wheeler,Robin Buckley,,
Stranger Things - Robin Buckley & Steve Harrington,Robin Buckley & Steve Harrington,Stranger Things,False,F / M,White,gay / str8,True,gen ship,gen ship,gen ship,USA,English,2,Robin Buckley,Steve Harrington,,
Stray Kids - Felix Lee | Felix x Hwang Hyunjin | Hyunjin,Felix Lee | Felix x Hwang Hyunjin | Hyunjin,Stray Kids,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Felix Lee | Felix,Hwang Hyunjin | Hyunjin,,
Stray Kids - Han Jisung | Han x Lee Minho | Lee Know,Han Jisung | Han x Lee Minho | Lee Know,Stray Kids,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Han Jisung | Han,Lee Minho | Lee Know,,
Suits - Harvey Specter x Mike Ross,Harvey Specter x Mike Ross,Suits,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Harvey Specter,Mike Ross,,
Super-Vocal | 声入人心 - Ayanga x Zhèng Yúnlóng,Ayanga x Zhèng Yúnlóng,Super-Vocal | 声入人心,True,M / M,E Asian,unspecified,False,No,ambiguous,No,China,Chinese,2,Ayanga,Zhèng Yúnlóng,,
Supernatural - Anna Milton x Jo Harvelle,Anna Milton x Jo Harvelle,Supernatural,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Anna Milton,Jo Harvelle,,
Supernatural - Anna Milton x Ruby,Anna Milton x Ruby,Supernatural,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Anna Milton,Ruby,,
Supernatural - Castiel & Dean Winchester,Castiel & Dean Winchester,Supernatural,False,M / M,White,bi / str8,True,gen ship,gen ship,gen ship,USA,English,2,Castiel,Dean Winchester,,
Supernatural - Castiel x Dean Winchester,Castiel x Dean Winchester,Supernatural,False,M / M,White,bi / str8,False,One-sided,conflicted,No,USA,English,2,Castiel,Dean Winchester,,
Supernatural - Castiel x Sam Winchester,Castiel x Sam Winchester,Supernatural,False,M / M,White,bi / str8,False,No,conflicted,No,USA,English,2,Castiel,Sam Winchester,,
