index,name,fandom,year_joined,latest_year,total_years,gender,race,orientation,country_of_origin,continent,language
Faking It - Amy Raudenfeld,Amy Raudenfeld,Faking It,2015,2016,2,F,White,bi,USA,North America,English
Faking It - Karma Ashcroft,Karma Ashcroft,Faking It,2015,2016,2,F,White,bi,USA,North America,English
Fall Out Boy - Patrick Stump,Patrick Stump,Fall Out Boy,2013,2019,6,M,White,str8,USA,North America,English
Fall Out Boy - Pete Wentz,Pete Wentz,Fall Out Boy,2013,2019,6,M,Black (Multi),str8,USA,North America,English
Faraway Wanderers / Word of Honor | 天涯客 / 山河令 - Wen Kexing,Wen Kexing,Faraway Wanderers / Word of Honor | 天涯客 / 山河令,2021,2022,2,M,E Asian,gay,China,Asia,Chinese
Faraway Wanderers / Word of Honor | 天涯客 / 山河令 - Zhou Zishu,Zhou Zishu,Faraway Wanderers / Word of Honor | 天涯客 / 山河令,2021,2022,2,M,E Asian,gay,China,Asia,Chinese
Fifth Harmony - Camila Cabello,Camila Cabello,Fifth Harmony,2015,2019,4,F,Latin,str8,USA,North America,English
Fifth Harmony - Lauren Jauregui,Lauren Jauregui,Fifth Harmony,2015,2019,4,F,Latin,bi,USA,North America,English
Figure Skating - Hanyu Yuzuru,Hanyu Yuzuru,Figure Skating,2022,2022,1,M,Asian,unspecified,Japan,Asia,English
Figure Skating - Jin Boyang,Jin Boyang,Figure Skating,2022,2022,1,M,Asian,unspecified,China,Asia,English
Final Fantasy | ファイナルファンタジー - Lightning,Lightning,Final Fantasy | ファイナルファンタジー,2015,2015,1,F,White,unspecified,Japan,Asia,Japanese
Final Fantasy | ファイナルファンタジー - Noctis Lucis Caelum,Noctis Lucis Caelum,Final Fantasy | ファイナルファンタジー,2017,2019,2,M,E Asian,str8,Japan,Asia,Japanese
Final Fantasy | ファイナルファンタジー - Oerba-Yun Fang,Oerba-Yun Fang,Final Fantasy | ファイナルファンタジー,2015,2015,1,F,E Asian,unspecified,Japan,Asia,Japanese
Final Fantasy | ファイナルファンタジー - Prompto Argentum,Prompto Argentum,Final Fantasy | ファイナルファンタジー,2017,2019,2,M,White,str8,Japan,Asia,Japanese
Fire Emblem | ファイアーエムブレム - Byleth Eisner | Player Character,Byleth Eisner | Player Character,Fire Emblem | ファイアーエムブレム,2020,2020,1,Ambig,MENA,bi,Japan,Asia,Japanese
Fire Emblem | ファイアーエムブレム - Dimitri Alexandre Blaiddyd,Dimitri Alexandre Blaiddyd,Fire Emblem | ファイアーエムブレム,2020,2020,1,M,White,str8,Japan,Asia,Japanese
Fire Emblem | ファイアーエムブレム - Edelgard von Hresvelg,Edelgard von Hresvelg,Fire Emblem | ファイアーエムブレム,2020,2020,1,F,White,bi,Japan,Asia,Japanese
Fire Emblem | ファイアーエムブレム - Felix Hugo Fraldarius,Felix Hugo Fraldarius,Fire Emblem | ファイアーエムブレム,2020,2020,1,M,White,str8,Japan,Asia,Japanese
Fire Emblem | ファイアーエムブレム - Sylvain Jose Gautier,Sylvain Jose Gautier,Fire Emblem | ファイアーエムブレム,2020,2020,1,M,White,str8,Japan,Asia,Japanese
Formula 1 - Charles Leclerc,Charles Leclerc,Formula 1,2024,2024,1,M,Latin,str8,Monaco,Europe,English
Formula 1 - Max Verstappen,Max Verstappen,Formula 1,2024,2024,1,M,White,str8,Netherlands,Europe,English
Free! - Matsuoka Rin,Matsuoka Rin,Free!,2015,2015,1,M,E Asian,unspecified,Japan,Asia,Japanese
Free! - Nanase Haruka,Nanase Haruka,Free!,2015,2017,3,M,E Asian,unspecified,Japan,Asia,Japanese
Free! - Tachibana Makoto,Tachibana Makoto,Free!,2015,2017,3,M,E Asian,unspecified,Japan,Asia,Japanese
Frozen - Anna,Anna,Frozen,2014,2024,10,F,Eu Ind (Multi),str8,USA,North America,English
Frozen - Elsa,Elsa,Frozen,2014,2024,10,F,Eu Ind (Multi),unspecified,USA,North America,English
Genshin Impact | 原神 - Alatus | Xiao,Alatus | Xiao,Genshin Impact | 原神,2022,2022,1,M,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Albedo,Albedo,Genshin Impact | 原神,2022,2022,1,M,White,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Alhaitham,Alhaitham,Genshin Impact | 原神,2023,2024,2,M,MENA,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Beidou,Beidou,Genshin Impact | 原神,2022,2024,3,F,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Cyno,Cyno,Genshin Impact | 原神,2023,2023,1,M,MENA,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Diluc,Diluc,Genshin Impact | 原神,2021,2023,3,M,White,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Furina de Fontaine,Furina de Fontaine,Genshin Impact | 原神,2024,2024,1,F,White,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Ganyu,Ganyu,Genshin Impact | 原神,2022,2024,3,F,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Jean,Jean,Genshin Impact | 原神,2022,2024,3,F,White,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Kaedehara Kazuha,Kaedehara Kazuha,Genshin Impact | 原神,2023,2023,1,M,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Kaeya,Kaeya,Genshin Impact | 原神,2021,2023,3,M,Ambig,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Kamisato Ayato,Kamisato Ayato,Genshin Impact | 原神,2022,2022,1,M,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Kaveh,Kaveh,Genshin Impact | 原神,2023,2024,2,M,MENA,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Keqing,Keqing,Genshin Impact | 原神,2022,2024,3,F,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Lisa,Lisa,Genshin Impact | 原神,2022,2024,3,F,White,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Neuvillette,Neuvillette,Genshin Impact | 原神,2024,2024,1,M,White,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Ningguang,Ningguang,Genshin Impact | 原神,2022,2024,3,F,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Raiden Ei | Beelzebul,Raiden Ei | Beelzebul,Genshin Impact | 原神,2022,2024,3,F,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Scaramouche | The Balladeer,Scaramouche | The Balladeer,Genshin Impact | 原神,2023,2023,1,M,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Tartaglia | Childe,Tartaglia | Childe,Genshin Impact | 原神,2021,2024,4,M,White,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Thoma,Thoma,Genshin Impact | 原神,2022,2022,1,M,E Asian (Multi),unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Tighnari,Tighnari,Genshin Impact | 原神,2023,2023,1,M,MENA,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Traveler | Player Character,Traveler | Player Character,Genshin Impact | 原神,2022,2022,1,Ambig,White,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Venti,Venti,Genshin Impact | 原神,2022,2022,1,M,Ambig,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Wriothesley,Wriothesley,Genshin Impact | 原神,2024,2024,1,M,Ambig,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Yae Miko | Guuji,Yae Miko | Guuji,Genshin Impact | 原神,2022,2024,3,F,E Asian,unspecified,China,Asia,Chinese
Genshin Impact | 原神 - Zhongli,Zhongli,Genshin Impact | 原神,2021,2024,4,M,E Asian,unspecified,China,Asia,Chinese
Ghostbusters - Erin Gilbert,Erin Gilbert,Ghostbusters,2017,2023,6,F,White,str8,USA,North America,English
Ghostbusters - Jillian Holtzmann,Jillian Holtzmann,Ghostbusters,2017,2023,6,F,White,gay,USA,North America,English
Girl Meets World - Maya Hart,Maya Hart,Girl Meets World,2016,2020,4,F,White,str8,USA,North America,English
Girl Meets World - Riley Matthews,Riley Matthews,Girl Meets World,2016,2020,4,F,White,str8,USA,North America,English
Glee - Blaine Anderson,Blaine Anderson,Glee,2013,2024,11,M,SE Asian (Multi),gay,USA,North America,English
Glee - Brittany S. Pierce,Brittany S. Pierce,Glee,2013,2024,11,F,White,bi,USA,North America,English
Glee - Kurt Hummel,Kurt Hummel,Glee,2013,2024,11,M,White,gay,USA,North America,English
Glee - Noah Puckerman,Noah Puckerman,Glee,2013,2013,1,M,White,str8,USA,North America,English
Glee - Quinn Fabray,Quinn Fabray,Glee,2013,2024,11,F,White,bi,USA,North America,English
Glee - Rachel Berry,Rachel Berry,Glee,2013,2024,11,F,White,str8,USA,North America,English
Glee - Santana Lopez,Santana Lopez,Glee,2013,2024,11,F,Af Lat,gay,USA,North America,English
Good Omens - Anthony J. Crowley,Anthony J. Crowley,Good Omens,2019,2024,6,M | Other,White,gay,UK,Europe,English
Good Omens - Aziraphale,Aziraphale,Good Omens,2019,2024,6,M,White,gay,UK,Europe,English
Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Jiang Cheng | Jiang Wanyin,Jiang Cheng | Jiang Wanyin,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,2020,2020,1,M,E Asian,unspecified,China,Asia,Chinese
Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Lan Huan | Lan Xichen,Lan Huan | Lan Xichen,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,2020,2020,1,M,E Asian,unspecified,China,Asia,Chinese
Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Lan Zhan | Lan Wangji,Lan Zhan | Lan Wangji,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,2019,2024,6,M,E Asian,gay,China,Asia,Chinese
Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Wang Yi Bo,Wang Yi Bo,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,2020,2021,2,M,E Asian,unspecified,China,Asia,Chinese
Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Wei Ying | Wei Wuxian,Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,2019,2024,6,M,E Asian,gay,China,Asia,Chinese
Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Xiao Zhan | Sean Xiao,Xiao Zhan | Sean Xiao,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,2020,2021,2,M,E Asian,unspecified,China,Asia,Chinese
Gravity Falls - Bill Cipher,Bill Cipher,Gravity Falls,2016,2016,1,M,N.H.,unspecified,USA,North America,English
Gravity Falls - Dipper Pines,Dipper Pines,Gravity Falls,2016,2016,1,M,White,str8,USA,North America,English
Gravity Falls - Mabel Pines,Mabel Pines,Gravity Falls,2015,2022,7,F,White,unspecified,USA,North America,English
Gravity Falls - Pacifica Northwest,Pacifica Northwest,Gravity Falls,2015,2022,7,F,White,unspecified,USA,North America,English
Grey's Anatomy Universe - Addison Montgomery,Addison Montgomery,Grey's Anatomy Universe,2022,2024,3,F,White,str8,USA,North America,English
Grey's Anatomy Universe - Arizona Robbins,Arizona Robbins,Grey's Anatomy Universe,2014,2017,4,F,White,gay,USA,North America,English
Grey's Anatomy Universe - Calliope 'Callie' Torres,Calliope 'Callie' Torres,Grey's Anatomy Universe,2014,2017,4,F,Latin,bi,USA,North America,English
Grey's Anatomy Universe - Carina DeLuca,Carina DeLuca,Grey's Anatomy Universe,2022,2024,3,F,White,bi,USA,North America,English
Grey's Anatomy Universe - Maya Bishop,Maya Bishop,Grey's Anatomy Universe,2022,2024,3,F,White,bi,USA,North America,English
Grey's Anatomy Universe - Meredith Grey,Meredith Grey,Grey's Anatomy Universe,2022,2024,3,F,White,str8,USA,North America,English
Haikyuu!! | ハイキュー!! - Akaashi Keiji,Akaashi Keiji,Haikyuu!! | ハイキュー!!,2016,2024,7,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Bokuto Koutarou,Bokuto Koutarou,Haikyuu!! | ハイキュー!!,2016,2024,7,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Hinata Shouyou,Hinata Shouyou,Haikyuu!! | ハイキュー!!,2015,2024,9,M,E Asian,str8,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Iwaizumi Hajime,Iwaizumi Hajime,Haikyuu!! | ハイキュー!!,2016,2024,8,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Kageyama Tobio,Kageyama Tobio,Haikyuu!! | ハイキュー!!,2015,2024,9,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Kozume Kenma,Kozume Kenma,Haikyuu!! | ハイキュー!!,2016,2023,5,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Kuroo Tetsurou,Kuroo Tetsurou,Haikyuu!! | ハイキュー!!,2016,2023,5,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Miya Atsumu,Miya Atsumu,Haikyuu!! | ハイキュー!!,2021,2024,4,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Oikawa Tooru,Oikawa Tooru,Haikyuu!! | ハイキュー!!,2016,2024,8,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Sakusa Kiyoomi,Sakusa Kiyoomi,Haikyuu!! | ハイキュー!!,2021,2024,4,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Sawamura Daichi,Sawamura Daichi,Haikyuu!! | ハイキュー!!,2016,2022,4,M,E Asian,str8,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Shimizu Kiyoko,Shimizu Kiyoko,Haikyuu!! | ハイキュー!!,2016,2024,8,F,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Sugawara Koushi,Sugawara Koushi,Haikyuu!! | ハイキュー!!,2016,2022,4,M,E Asian,str8,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Tsukishima Kei,Tsukishima Kei,Haikyuu!! | ハイキュー!!,2016,2021,2,M,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Yachi Hitoka,Yachi Hitoka,Haikyuu!! | ハイキュー!!,2016,2024,8,F,E Asian,unspecified,Japan,Asia,Japanese
Haikyuu!! | ハイキュー!! - Yamaguchi Tadashi,Yamaguchi Tadashi,Haikyuu!! | ハイキュー!!,2016,2021,2,M,E Asian,unspecified,Japan,Asia,Japanese
Hamilton - Alexander Hamilton,Alexander Hamilton,Hamilton,2016,2019,3,M,Latin,str8,USA,North America,English
Hamilton - Elizabeth 'Eliza' Schuyler,Elizabeth 'Eliza' Schuyler,Hamilton,2017,2021,4,F,E Asian,str8,USA,North America,English
Hamilton - John Laurens,John Laurens,Hamilton,2016,2019,3,M,Latin,str8,USA,North America,English
Hamilton - Maria Reynolds,Maria Reynolds,Hamilton,2017,2021,4,F,Black,str8,USA,North America,English
Hamilton - Thomas Jefferson,Thomas Jefferson,Hamilton,2017,2017,1,M,Black,str8,USA,North America,English
Hannibal - Alana Bloom,Alana Bloom,Hannibal,2017,2017,1,F,White,bi,USA,North America,English
Hannibal - Hannibal Lecter,Hannibal Lecter,Hannibal,2013,2024,11,M,White,bi,USA,North America,English
Hannibal - Margot Verger,Margot Verger,Hannibal,2017,2017,1,F,White,gay,USA,North America,English
Hannibal - Will Graham,Will Graham,Hannibal,2013,2024,11,M,White,gay,USA,North America,English
Harry Potter Universe - Barty Crouch Jr.,Barty Crouch Jr.,Harry Potter Universe,2023,2024,2,M,White,unspecified,UK,Europe,English
"Harry Potter Universe - Bellatrix Lestrange, née Black","Bellatrix Lestrange, née Black",Harry Potter Universe,2020,2024,5,F,White,str8,UK,Europe,English
Harry Potter Universe - Credence Barebone,Credence Barebone,Harry Potter Universe,2017,2017,1,M,White,unspecified,UK,Europe,English
Harry Potter Universe - Dorcas Meadowes,Dorcas Meadowes,Harry Potter Universe,2022,2024,3,F,Black,unspecified,UK,Europe,English
Harry Potter Universe - Draco Malfoy,Draco Malfoy,Harry Potter Universe,2013,2024,11,M,White,str8,UK,Europe,English
Harry Potter Universe - Evan Rosier,Evan Rosier,Harry Potter Universe,2023,2024,2,M,Unknown,unspecified,UK,Europe,English
"Harry Potter Universe - Fleur Isabelle Weasley, née Delacour","Fleur Isabelle Weasley, née Delacour",Harry Potter Universe,2024,2024,1,F,White,str8,UK,Europe,English
Harry Potter Universe - Ginny Weasley,Ginny Weasley,Harry Potter Universe,2013,2024,11,F,White,str8,UK,Europe,English
Harry Potter Universe - Harry Potter,Harry Potter,Harry Potter Universe,2013,2024,11,M,White,str8,UK,Europe,English
Harry Potter Universe - Hermione Granger,Hermione Granger,Harry Potter Universe,2013,2024,11,F,Ambig,str8,UK,Europe,English
Harry Potter Universe - James Potter,James Potter,Harry Potter Universe,2013,2024,11,M,White,str8,UK,Europe,English
"Harry Potter Universe - Lily Potter, née Evans","Lily Potter, née Evans",Harry Potter Universe,2013,2024,11,F,White,str8,UK,Europe,English
Harry Potter Universe - Luna Lovegood,Luna Lovegood,Harry Potter Universe,2014,2024,10,F,White,str8,UK,Europe,English
Harry Potter Universe - Marlene McKinnon,Marlene McKinnon,Harry Potter Universe,2022,2024,3,F,White,unspecified,UK,Europe,English
Harry Potter Universe - Mary Macdonald,Mary Macdonald,Harry Potter Universe,2023,2024,2,F,Unknown,unspecified,UK,Europe,English
Harry Potter Universe - Pandora Lovegood,Pandora Lovegood,Harry Potter Universe,2024,2024,1,F,White,str8,UK,Europe,English
Harry Potter Universe - Pansy Parkinson,Pansy Parkinson,Harry Potter Universe,2015,2024,7,F,White,str8,UK,Europe,English
Harry Potter Universe - Percival Graves,Percival Graves,Harry Potter Universe,2017,2017,1,M,White,unspecified,UK,Europe,English
Harry Potter Universe - Regulus Black,Regulus Black,Harry Potter Universe,2022,2024,3,M,White,unspecified,UK,Europe,English
Harry Potter Universe - Remus Lupin,Remus Lupin,Harry Potter Universe,2013,2024,11,M,White,str8,UK,Europe,English
Harry Potter Universe - Ron Weasley,Ron Weasley,Harry Potter Universe,2013,2024,11,M,White,str8,UK,Europe,English
Harry Potter Universe - Severus Snape,Severus Snape,Harry Potter Universe,2013,2024,11,M,White,str8,UK,Europe,English
Harry Potter Universe - Sirius Black,Sirius Black,Harry Potter Universe,2013,2024,11,M,White,unspecified,UK,Europe,English
Harry Potter Universe - Tom Riddle | Voldemort,Tom Riddle | Voldemort,Harry Potter Universe,2020,2024,5,M,White,str8,UK,Europe,English
Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド - Aoyagi Touya,Aoyagi Touya,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,2023,2024,2,M,E Asian,unspecified,Japan,Asia,Japanese
Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド - Azusawa Kohane,Azusawa Kohane,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,2024,2024,1,F,E Asian,unspecified,Japan,Asia,Japanese
Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド - Kamishiro Rui,Kamishiro Rui,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,2023,2024,2,M,E Asian,unspecified,Japan,Asia,Japanese
Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド - Shinonome Akito,Shinonome Akito,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,2023,2024,2,M,E Asian,unspecified,Japan,Asia,Japanese
Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド - Shiraishi An,Shiraishi An,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,2024,2024,1,F,E Asian,unspecified,Japan,Asia,Japanese
Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド - Tenma Tsukasa,Tenma Tsukasa,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,2023,2024,2,M,E Asian,unspecified,Japan,Asia,Japanese
Hawaii Five-0 - Danny 'Danno' Williams,Danny 'Danno' Williams,Hawaii Five-0,2013,2024,11,M,White,str8,USA,North America,English
Hawaii Five-0 - Steve McGarrett,Steve McGarrett,Hawaii Five-0,2013,2024,11,M,White,str8,USA,North America,English
Hazbin Hotel Universe - Alastor,Alastor,Hazbin Hotel Universe,2024,2024,1,M,N.H.,acearo,USA,North America,English
Hazbin Hotel Universe - Angel Dust,Angel Dust,Hazbin Hotel Universe,2024,2024,1,M,N.H.,gay,USA,North America,English
Hazbin Hotel Universe - Blitzo Buckzo,Blitzo Buckzo,Hazbin Hotel Universe,2024,2024,1,M,N.H.,bi,USA,North America,English
Hazbin Hotel Universe - Charlotte 'Charlie' Magne/Morningstar,Charlotte 'Charlie' Magne/Morningstar,Hazbin Hotel Universe,2021,2024,4,F,N.H.,bi,USA,North America,English
Hazbin Hotel Universe - Husk,Husk,Hazbin Hotel Universe,2024,2024,1,M,N.H.,bi,USA,North America,English
Hazbin Hotel Universe - Lucifer Magne/Morningstar,Lucifer Magne/Morningstar,Hazbin Hotel Universe,2024,2024,1,M,N.H.,bi,USA,North America,English
Hazbin Hotel Universe - Stolas Goetia,Stolas Goetia,Hazbin Hotel Universe,2024,2024,1,M,N.H.,gay,USA,North America,English
Hazbin Hotel Universe - Vaggie,Vaggie,Hazbin Hotel Universe,2021,2024,4,F,N.H.,gay,USA,North America,English
Hazbin Hotel Universe - Valentino,Valentino,Hazbin Hotel Universe,2024,2024,1,M,N.H.,bi,USA,North America,English
Hazbin Hotel Universe - Vox,Vox,Hazbin Hotel Universe,2024,2024,1,M,N.H.,bi,USA,North America,English
Heartstopper - Charles 'Charlie' Spring,Charles 'Charlie' Spring,Heartstopper,2023,2024,2,M,White,gay,UK,Europe,English
Heartstopper - Nicholas 'Nick' Nelson,Nicholas 'Nick' Nelson,Heartstopper,2023,2024,2,M,White,bi,UK,Europe,English
Heaven Official's Blessing | 天官赐福 - Hua Cheng,Hua Cheng,Heaven Official's Blessing | 天官赐福,2022,2024,3,M,E Asian,gay,China,Asia,Chinese
Heaven Official's Blessing | 天官赐福 - Xie Lian,Xie Lian,Heaven Official's Blessing | 天官赐福,2022,2024,3,M,E Asian,gay,China,Asia,Chinese
Hetalia | ヘタリア - Alfred F. Jones | America,Alfred F. Jones | America,Hetalia | ヘタリア,2013,2019,6,M,White,unspecified,Japan,Asia,Japanese
Hetalia | ヘタリア - Arthur Kirkland | England,Arthur Kirkland | England,Hetalia | ヘタリア,2013,2019,6,M,White,unspecified,Japan,Asia,Japanese
Hockey - Jonathan Toews,Jonathan Toews,Hockey,2014,2014,1,M,White,unspecified,Canada,North America,English
Hockey - Patrick Kane,Patrick Kane,Hockey,2014,2014,1,M,White,str8,USA,North America,English
Holby City - Bernie Wolfe,Bernie Wolfe,Holby City,2017,2024,7,F,White,bi,UK,Europe,English
Holby City - Serena Campbell,Serena Campbell,Holby City,2017,2024,7,F,White,bi,UK,Europe,English
Homestuck - Aranea Serket,Aranea Serket,Homestuck,2015,2016,2,F,Ambig,bi,USA,North America,English
Homestuck - Calliope,Calliope,Homestuck,2015,2015,1,F,N.H.,unspecified,USA,North America,English
Homestuck - Dave Strider,Dave Strider,Homestuck,2013,2017,5,M,Ambig,bi,USA,North America,English
Homestuck - Dirk Strider,Dirk Strider,Homestuck,2013,2015,3,M,Ambig,gay,USA,North America,English
Homestuck - Jade Harley,Jade Harley,Homestuck,2014,2017,4,F,Ambig,str8,USA,North America,English
Homestuck - Jake English,Jake English,Homestuck,2013,2015,3,M,Ambig,bi,USA,North America,English
Homestuck - Jane Crocker,Jane Crocker,Homestuck,2014,2019,5,F,Ambig,str8,USA,North America,English
Homestuck - John Egbert,John Egbert,Homestuck,2013,2017,5,M,Ambig,str8,USA,North America,English
Homestuck - Kanaya Maryam,Kanaya Maryam,Homestuck,2013,2024,11,F,N.H.,bi,USA,North America,English
Homestuck - Karkat Vantas,Karkat Vantas,Homestuck,2013,2016,4,M,Ambig,bi,USA,North America,English
Homestuck - Meenah Peixes,Meenah Peixes,Homestuck,2015,2016,2,F,Ambig,bi,USA,North America,English
Homestuck - Rose Lalonde,Rose Lalonde,Homestuck,2013,2024,11,F,Ambig,gay,USA,North America,English
Homestuck - Roxy Lalonde,Roxy Lalonde,Homestuck,2014,2019,5,F,Ambig,str8,USA,North America,English
Homestuck - Terezi Pyrope,Terezi Pyrope,Homestuck,2014,2023,9,F,N.H.,bi,USA,North America,English
Homestuck - Vriska Serket,Vriska Serket,Homestuck,2014,2023,9,F,N.H.,bi,USA,North America,English
Honkai: Star Rail | 崩坏：星穹铁道 - Dan Feng,Dan Feng,Honkai: Star Rail | 崩坏：星穹铁道,2024,2024,1,M,E Asian,unspecified,China,Asia,Chinese
Honkai: Star Rail | 崩坏：星穹铁道 - Dan Heng,Dan Heng,Honkai: Star Rail | 崩坏：星穹铁道,2024,2024,1,M,E Asian,unspecified,China,Asia,Chinese
Honkai: Star Rail | 崩坏：星穹铁道 - Dr. Veritas Ratio,Dr. Veritas Ratio,Honkai: Star Rail | 崩坏：星穹铁道,2024,2024,1,M,Ambig,unspecified,China,Asia,Chinese
Honkai: Star Rail | 崩坏：星穹铁道 - Kakavasha | Aventurine,Kakavasha | Aventurine,Honkai: Star Rail | 崩坏：星穹铁道,2024,2024,1,M,Romani,unspecified,China,Asia,Chinese
Honkai: Star Rail | 崩坏：星穹铁道 - Yingxing | Blade,Yingxing | Blade,Honkai: Star Rail | 崩坏：星穹铁道,2024,2024,1,M,E Asian,unspecified,China,Asia,Chinese
House M.D. - Greg House,Greg House,House M.D.,2013,2014,2,M,White,str8,USA,North America,English
House M.D. - James Wilson,James Wilson,House M.D.,2013,2014,2,M,White,str8,USA,North America,English
Hunger Games / Panem Universe - Johanna Mason,Johanna Mason,Hunger Games / Panem Universe,2015,2016,2,F,White,unspecified,USA,North America,English
Hunger Games / Panem Universe - Katniss Everdeen,Katniss Everdeen,Hunger Games / Panem Universe,2013,2017,5,F,Ambig,str8,USA,North America,English
Hunger Games / Panem Universe - Peeta Mellark,Peeta Mellark,Hunger Games / Panem Universe,2013,2017,5,M,White,str8,USA,North America,English
IT - Ben Hanscom,Ben Hanscom,IT,2020,2020,1,M,White,str8,USA,North America,English
IT - Beverly Marsh,Beverly Marsh,IT,2020,2020,1,F,White,str8,USA,North America,English
IT - Eddie Kaspbrak,Eddie Kaspbrak,IT,2019,2024,6,M,White,str8,USA,North America,English
IT - Richie Tozier,Richie Tozier,IT,2019,2024,6,M,White,gay,USA,North America,English
Inception - Arthur,Arthur,Inception,2013,2020,7,M,White,unspecified,USA,North America,English
Inception - Eames,Eames,Inception,2013,2020,7,M,White,unspecified,USA,North America,English
James Bond Universe - James Bond,James Bond,James Bond Universe,2013,2020,7,M,White,str8,UK,Europe,English
James Bond Universe - Q,Q,James Bond Universe,2013,2020,7,M,White,unspecified,UK,Europe,English
JoJo's Bizarre Adventure | ジョジョの奇妙な冒険 - Bruno Buccellati,Bruno Buccellati,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険,2020,2020,1,M,Latin,unspecified,Japan,Asia,Japanese
JoJo's Bizarre Adventure | ジョジョの奇妙な冒険 - Kakyoin Noriaki,Kakyoin Noriaki,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険,2020,2020,1,M,E Asian,unspecified,Japan,Asia,Japanese
