fandom,rpf,year_joined,latest_year,total_years,country_of_origin,continent,language
Formula 1,True,2024,2024,1,Monaco / Netherlands,Europe,English
Free!,False,2015,2017,3,Japan,Asia,Japanese
Frozen,False,2014,2024,10,USA,North America,English
Genshin Impact | 原神,False,2021,2024,4,China,Asia,Chinese
Ghostbusters,False,2017,2023,6,USA,North America,English
Girl Meets World,False,2016,2020,4,USA,North America,English
Glee,False,2013,2024,11,USA,North America,English
Good Omens,False,2019,2024,6,UK,Europe,English
Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,both,2019,2024,6,China,Asia,Chinese
Gravity Falls,False,2015,2022,7,USA,North America,English
Grey's Anatomy Universe,False,2014,2024,7,USA,North America,English
Haikyuu!! | ハイキュー!!,False,2015,2024,9,Japan,Asia,Japanese
Hamilton,False,2016,2021,5,USA,North America,English
Hannibal,False,2013,2024,11,USA,North America,English
Harry Potter Universe,False,2013,2024,11,UK,Europe,English
Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,False,2023,2024,2,Japan,Asia,Japanese
Hawaii Five-0,False,2013,2024,11,USA,North America,English
Hazbin Hotel Universe,False,2021,2024,4,USA,North America,English
Heartstopper,False,2023,2024,2,UK,Europe,English
Heaven Official's Blessing | 天官赐福,False,2022,2024,3,China,Asia,Chinese
Hetalia | ヘタリア,False,2013,2019,6,Japan,Asia,Japanese
Hockey,True,2014,2014,1,Canada / USA,North America,English
Holby City,False,2017,2024,7,UK,Europe,English
Homestuck,False,2013,2024,11,USA,North America,English
Honkai: Star Rail | 崩坏：星穹铁道,False,2024,2024,1,China,Asia,Chinese
House M.D.,False,2013,2014,2,USA,North America,English
Hunger Games / Panem Universe,False,2013,2017,5,USA,North America,English
IT,False,2019,2024,6,USA,North America,English
Inception,False,2013,2020,7,USA,North America,English
James Bond Universe,False,2013,2020,7,UK,Europe,English
JoJo's Bizarre Adventure | ジョジョの奇妙な冒険,False,2020,2020,1,Japan,Asia,Japanese
Journey to the West Universe,False,2023,2023,1,China,Asia,Chinese
Jujutsu Kaisen | 呪術廻戦,False,2021,2024,4,Japan,Asia,Japanese
Julie and The Phantoms,False,2021,2021,1,USA,North America,English
